展会名称,展会简介,举办周期,举办城市,场馆,日期,组委会官网,展会官网,联系电话,电子邮箱
AFRICA FOAM,"International trade show focusing on foam manufacturing technologies. Exhibition, Conference, Training Courses",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018,http://www.technobiz-india.com,http://www.urethane-expo.com/Africa,+91 0862 4220 483,technobiz.india@gmail.com
AFRICA RUBBER EXPO & SUMMIT,"Meeting Point for Rubber, Latex and Tyre Industries in Africa",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018,http://www.technobiz-india.com,http://www.grte-expo.com/Africa,+91 0862 4220 483,technobiz.india@gmail.com
PU TECH AFRICA,"International Exhibition and Conference for Polyurethane Industries. Expo, Conference, Training Courses",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018,http://www.technobiz-india.com,http://www.urethane-expo.com/Africa,+91 0862 4220 483,technobiz.india@gmail.com
MEETINGS AFRICA,Business Tourism Exhibition,once a year,Johannesburg,Sandton Convention Centre,25.02 - 27.02 2019,http://www.meetingsafrica.co.za,http://www.meetingsafrica.co.za,+27 11 431 4126,info@meetingsafrica.co.za
PROFESSIONAL BEAUTY - CAPE TOWN,Beauty Industry Trade Show,once a year,Cape Town,The Lookout,March 2019 (?),http://www.professionalbeauty.co.uk,http://www.probeauty.co.za,+44 (0) 20 7351 0536,info@professionalbeauty.co.uk
PORT FINANCE INTERNATIONAL,"International Forum on Port Reforms, Expansion and Efficiency",twice a year,Johannesburg,Sandton Convention Centre,March 2019 (?),http://www.portfinanceinternational.com,http://www.portfinanceinternational.com,+44 (0)207 253 2700,sacha@portfinanceinternational.com
SEAMLES AFRICA,"International exhibition & conference focusing on E-Commerce, Retail, Cards & Payments and digital marketing",once a year,Cape Town,Cape Town International Convention Centre,12.03 - 13.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/seamless-africa,+27 (0) 11 516 4000,Kemantha.Chetty@terrapinn.com
SEAMLESS AFRICA,"Seamless is the key meeting and Africa’s largest and longest running conference focused on cards and payments, to a dynamic summit and large scale exhibition bringing together the converging worlds of ecommerce, retail and payments",once a year,Cape Town,Cape Town International Convention Centre,12.03 - 13.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/seamless-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
PROPAK AFRICA,African International Packaging and Plastics incorporating FOODPRO the Food Processing Equipment Expo,every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019,http://www.specialised.com,http://www.propakafrica.co.za,+27 (0)11 835 1565,dniemack@specialised.com
PRO-PLAS AFRICA EXPO,"Plastic Machinery & Materials Exhibition. PRO-PLAS AFRICA EXPO features Plastics processing machinery, Chillers, Converting equipment, Extrusion equipment, Feeders, Processing aids, Recycling equipment, Various materials, Blow moulding machinery",every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019,http://www.specialised.com,http://www.propakafrica.co.za,+27 (0)11 835 1565,specialised@specialised.com
THE GAPP PRINT EXPO,Printing Machinery & Equipment Exhibition,every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019,http://www.specialised.com,http://www.propakafrica.co.za,+27 (0)11 835 1565,specialised@specialised.com
DECOREX DURBAN,"Exhibition dedicated to interior décor and design. Decorex Durban is KwaZulu Natal’s premier décor, design and lifestyle exhibition",once a year,Durban,Durban ICC Arena,21.03 - 24.03 2019,http://www.thebereed.co.za,http://www.reedexpoafrica.co.za/decorex,+27 (11) 549 8300,sian@ThebeReed.co.za
ENERGY EFFICIENCY WORLD AFRICA,"Energy, Power Efficiency, Energy Saving",every 2 years,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/energy-efficiency-africa,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
POWER & ELECTRICITY WORLD AFRICA,Annual Congress of Power Industry Professionals,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/power-electricity-world-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
POWER GENERATION WORLD AFRICA,Power Generation Conference,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/power-electricity-world-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
THE SOLAR SHOW AFRICA,Solar Power Industry Trade Show,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/solar-show-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
AFRICA TRAVEL WEEK,"International Travel Show. AFRICA TRAVEL WEEK comprises three co-located shows – WTM Africa, IBTM Africa and ILTM Africa - encompassing Africa’s inbound & outbound markets for general leisure travel, luxury tourism, & the MICE/business travel sector",once a year,Cape Town,Cape Town International Convention Centre,April 2019 (?),http://www.thebereed.co.za,http://www.africatravelweek.com,+27 (11) 549 8300,cmarchesi@ThebeReed.co.za
IBTM AFRICA,"Trade show for Africa’s incentives, meetings and business travel industry",once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019,http://www.thebereed.co.za,http://www.ibtmevents.com/IBTMafrica,+27 (11) 549 8300,ibtmafrica@reedexpo.co.uk
ILTM AFRICA,International Luxury Travel Market,once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019,http://www.relxgroup.com,http://www.iltm.com/africa,+44 20 7166 5500,iltm.helpline@reedexpo.co.uk
INTERNATIONAL LUXURY TRAVEL MARKET AFRICA,"International trade show for the Luxury Travel Market. ILTM Africa delivers face to face meetings with unique African travel suppliers, providing opportunities to build relations, enrich your knowledge & be inspired to develop new business opportunities",once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019,http://www.thebereed.co.za,http://www.iltm.com/africa,+27 (11) 549 8300,cmarchesi@ThebeReed.co.za
WORLD TRAVEL MARKET AFRICA,"Exhibition dedicated to the Travel Market in Africa. WTM Africa is the leading B2B exhibition for Africa’s leisure travel industry, bringing the world to Africa and promoting Africa to the world’s leading source markets",once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019,http://www.thebereed.co.za,http://africa.wtm.com,+27 (11) 549 8300,info@tepg.co.za
WTM AFRICA,"African Travel and Tourism Exhibition, Networking Event & Conference. World Travel Market Africa is the leading B2B exhibition for the inbound and outbound African travel & tourism markets",once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019,http://www.reedexpo.com,http://africa.wtm.com,+44 20 8271 2134,wtmafrica.helpline@thebereed.co.za
RAND SHOW,"The Rand Show is South Africa’s largest consumer show. From lifestyle exhibits, shopping and great deals, to a top-class line-up of entertainment perfect for the whole family",once a year,Johannesburg,"Expo Centre Nasrec, Johannesburg",19.04 - 28.04 2019,http://www.dogan.co.za,http://www.randshow.co.za,+27 (0) 11 494 2894,info@randshow.co.za
SOUTH AFRICAN CHEESE FESTIVAL,The most prominent cheese festival in Southern Africa,once a year,Stellenbosch,Sandringham Estate,26.04 - 28.04 2019,http://www.agriexpo.co.za,http://www.cheesefestival.co.za,+27 21 975 4440/1/2/3,cheese@agriexpo.co.za
PROFESSIONAL BEAUTY - DURBAN,Beauty Industry Trade Show,once a year,Durban,Greyville Convention Centre,May 2019 (?),http://www.professionalbeauty.co.uk,http://www.probeauty.co.za,+44 (0) 20 7351 0536,info@professionalbeauty.co.uk
INDUTEC,"Africa’s leading industrial technology and supply expo. New features include the Pumps, Valves & Pipes conference with a focus on Watertec",every 2 years,Johannesburg,Gallagher Convention Centre,May 2019 (?),http://www.exhibitionsafrica.com,http://www.indutecafrica.com,+27 11 783 7250,dmgemsafrica@dmgeventsme.com
DECOREX CAPE TOWN,"Home Decor & Design Exhibition. Decorex Cape Town brings together the most exquisite collection of exhibitors, design icons and rising stars",once a year,Cape Town,Cape Town International Convention Centre,01.05 - 05.05 2019,http://www.thebereed.co.za,http://www.reedexpoafrica.co.za/decorex,+27 (11) 549 8300,sian@ThebeReed.co.za
INDABA,Travel & Tourism Trade Show,once a year,Durban,Durban ICC Arena,07.05 - 09.05 2019,http://www.indaba-southafrica.co.za,http://www.indaba-southafrica.co.za,+27 86 107 7784,indaba@indaba-southafrica.co.za
AFRICAN UTILITY WEEK,"Africa's all-encompassing Power and Water event. African Utility Week, delivers business opportunities for utilities, large industrial end users and solution providers across all sectors",once a year,Cape Town,Cape Town International Convention Centre,14.05 - 16.05 2019,http://www.spintelligent.com,http://www.african-utility-week.com,+27 21 700 3500,warda.johnson@spintelligent.com
POWER-GEN AFRICA,"African Meeting of Electric Power Producers, Independent Power Producers, Co Generation Plants, Waste-to Energy Plants",once a year,Cape Town,,14.05 - 16.05 2019,http://www.pennwell.com,http://www.powergenafrica.com/index.html,+1 (918) 835-3161,samantham@pennwell.com
A-OSH EXPO AFRICA,International Fire & Safety Exhibition in South Africa,once a year,Johannesburg,Gallagher Convention Centre,14.05 - 16.05 2019,http://www.specialised.com,http://www.aosh.co.za,+27 (0)11 835 1565,specialised@specialised.com
SECUREX SOUTH AFRICA,"Largest International Trade Show in South Africa dedicated to Commercial, Homeland and Cyber Security, Fire Protection and Safety",once a year,Johannesburg,Gallagher Convention Centre,14.05 - 16.05 2019,http://www.montgomeryafrica.com/EN,http://www.securex.co.za,+2711 835 1565,rossc@montgomeryafrica.com
NAMPO HARVEST DAY,The largest show of agricultural machinery and livestock in the southern hemisphere. Nampo Harvest Day focuses on the complete agricultural sector and is also intended to contribute to sustained food production in South Africa,once a year,Bothaville,NAMPO Park,14.05 - 17.05 2019,http://www.grainsa.co.za,http://www.nampo.co.za,+27 08600 47246,navrae@grainsa.co.za
LOCAL SOUTH AFRICAN MANUFACTURING EXPO,"The Local Manufacturing Expo will showcase South Africa's manufacturing capabilities across a wide variety of industry sectors: Industry, Construction, Mining, Agriculture, Power",unknown,Johannesburg,"Expo Centre Nasrec, Johannesburg",21.05 - 23.05 2019,http://www.specialised.com,http://www.localmanufacturingexpo.co.za,+27 (0)11 835 1565,specialised@specialised.com
AFRICA HEALTH,Africa Health Exhibition and Congress,once a year,Johannesburg,Gallagher Convention Centre,28.05 - 30.05 2019,http://www.informaexhibitions.com,http://www.africahealthexhibition.com,+41 417232541,africahealth@informa.com
CHINA TRADE WEEK - SOUTH AFRICA,"International Sourcing Fair. CHINA TRADE WEEK bring Chinese manufacturers and suppliers of every sectors, from construction materials and equipment, PMV, print, packaging and plastics, through to automotive parts and accessories, vehicles and consumer pr",once a year,somewhere in,,June 2019 (?),http://www.mie.ae,http://www.ctwsouthafrica.com,+971 (0) 4 425 3337,info@mie.ae
FRANCHISE BUSINESS FESTIVAL,International Franchise Expo,once a year,somewhere in,,June 2019 (?),http://www.fasa.co.za,http://www.ife.co.za,+27 11 615 0359,fasa@fasa.co.za
EAST COAST HOUSE & GARDEN SHOW,House & Garden Show,once a year,Durban,Durban ICC Arena,June 2019 (?),http://www.kagisoexpo.co.za,http://www.housegardenshow.co.za,+27 (0)31 303 5941,info@ksa.co.za
AVIATION FESTIVAL AFRICA,Aviation Expo,once a year,Johannesburg,Sandton Convention Centre,June 2019 (?),http://www.terrapinn.com,http://www.terrapinn.com/exhibition/aviation-festival-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
SABC EDUCATION AFRICAN EDUWEEK,"Education Expo, seminars & workshops. SABC Education African EduWeek brings together pioneering global education suppliers, local & international expert speakers & multiple government & non- profit organisations",once a year,Johannesburg,Ticketpro Dome,June 2019 (?),http://www.spintelligent.com,http://www.educationweek.co.za,+27 21 700 3500,zara.eckles@spintelligent.com
AFRICA AUTOMATION FAIR,"Industrial Process Control & Automation Technologies. AFRICA AUTOMATION FAIR features Local & International Manufacturing & Processing Industry Suppliers, Machine & Plant Engineering Facilities, Planning & Engineering Services, Energy Supply Businesses",every 2 years,Johannesburg,Ticketpro Dome,04.06 - 06.06 2019,http://www.thebereed.co.za,http://africaautomationfair.com,+27 (11) 549 8300,info@thebereed.co.za
MARKEX,"Marketing, Promotions & Special Events Exhibition",once a year,Johannesburg,Sandton Convention Centre,05.06 - 06.06 2019,http://www.specialised.com,http://www.markex.co.za,+27 (0)11 835 1565,specialised@specialised.com
AFRICARAIL,Africa's only dedicated railways conference and exhibition,once a year,Johannesburg,Sandton Convention Centre,19.06 - 20.06 2019,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/africa-rail/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
AFRICA'S BIG SEVEN,Africa’s premier food and drink trade show brings together hundreds of global farm to fork suppliers with motivated buyers from each segment of the buying community,once a year,Johannesburg,Gallagher Convention Centre,23.06 - 25.06 2019,http://www.exhibitionsafrica.com,http://www.africabig7.com,+27 11 783 7250,info@africabig7.com
SAITEX,"SAITEX is the largest product sourcing trade show in Africa featuring electronics and home appliances, homeware and household products as well as building materials and tools",once a year,Johannesburg,Gallagher Convention Centre,23.06 - 25.06 2019,http://www.exhibitionsafrica.com,http://www.saitexafrica.com,+27 11 783 7250,info@saitexafrica.com
THE HOTEL SHOW AFRICA,"Attracting 1000’s of GMs, owners, operators, procurement managers, designers, developers and the all important front-line hospitality personnel, The Hotel Show offers an unmissable opportunity for suppliers to showcase latest products, ideas and trends",once a year,Johannesburg,Gallagher Convention Centre,23.06 - 25.06 2019,http://www.exhibitionsafrica.com,http://www.thehotelshowafrica.com,+27 11 783 7250,dmgemsafrica@dmgeventsme.com
MEDIATECH AFRICA,"Exhibition for Advanced Technology for the Media, Entertainment and Communications Industries",every 2 years,Johannesburg,Ticketpro Dome,July 2019 (?),http://www.thebereed.co.za,http://www.mediatech.co.za,+27 (11) 549 8300,info@tepg.co.za
WODAC PET EXPO,"Dogs, Cats & Pet Exhibition. WODAC PET EXPO provides the ideal opportunity to market and launch new products, immediate sales, collect high quality leads, entertain loyal customers, generate media coverage",once a year,Johannesburg,Gallagher Convention Centre,July 2019 (?),http://www.dogscats.co.za,http://www.dogscats.co.za,+27 31 7654286,dogscats@iafrica.com
AGRIWORKS POTCHEFSTROOM,"Agricultural Expo. AGRIWORKS expo focuses on farming, research, agricultural produce and equipment and is open to all sectors of the farming community, with a special focus on the wine and fruit sectors",once a year,Potchefstroom,The Trim Park,July 2019 (?),http://www.cadek.co.za,http://agriworks.co.za,+27 21 854 4700,info@cadek.co.za
KZN INDUSTRIAL TECHNOLOGY EXHIBITION,"Multisectoral Industrial Technology Exhibition in South Africa. KZN INDUSTRIAL TECHNOLOGY EXHIBITION showcases Electrical & Electronic and Mechanical & Materials Handling Technologies, Chemicals and Plastics, Safety, Health and Environmental Technologies",every 2 years,Durban,Durban ICC Arena,24.07 - 26.07 2019,http://www.specialised.com,http://www.kznindustrial.co.za,+27 (0)11 835 1565,specialised@specialised.com
OIL & GAS AFRICA,"Oil & Gas Africa is the sole engineering supply chain expo serving the midstream and downstream sectors. Oil & Gas Africa is the key meeting point for local and international technology and service providers, equipment suppliers,...",once a year,Cape Town,Cape Town International Convention Centre,Aug. 2019 (?),http://www.exhibitionsafrica.com,http://www.africaogp.com,+27 11 783 7250,dmgemsafrica@dmgeventsme.com
ACCESS MBA - JOHANNESBURG,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,once a year,Johannesburg,"The Michelangelo Hotel, Johannesburg",Aug. 2019 (?),http://www.advent-group.net,http://www.accessmba.com/tour,+33 (0)1 44 63 03 78,coutat@advent-communication.net
SA MOTORING EXPERIENCE,Africa International Festival of Motoring. Car brands showcase their range of vehicles and technology,once a year,Johannesburg,Kyalami Exhibition & Conference Centre,Aug. 2019 (?),http://www.naamsa.co.za,http://safestivalofmotoring.com,+27 (0) 12 323-2980,jms@sashows.com
100% DESIGN SOUTH AFRICA,"100% Design South Africa is a contemporary showcase of select local and international furniture, lighting, fabrics & product design covering the residential, hospitality & office industry",once a year,Johannesburg,Gallagher Convention Centre,07.08 - 11.08 2019,http://www.thebereed.co.za,http://www.100percentdesign.co.za,+27 (11) 549 8300,Rina@ThebeReed.co.za
COAL AFRICA,"Biennial coal-processing, conference-led exhibition",every 2 years,Secunda,Graceland Hotel Casino and Country Club,21.08 - 24.08 2019,http://www.specialised.com,http://www.coalafricaexpo.co.za,+27 (0)11 835 1565,specialised@specialised.com
AUTOMECHANIKA JOHANNESBURG,"International Trade Fair for parts and accessories for the automotive industry, equipment for garages and service stations",every 2 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",18.09 - 21.09 2019,http://www.messefrankfurt.com,http://www.automechanikasa.co.za,+49 69 75 75-0,trade@automechanikasa.co.za
AFRICAN AIR EXPO,"Commercial, Business & General Aviation and Airport Infrastructure",every 2 years,Durban,King Shaka International Airport,27.11 - 29.11 2019,http://www.airexpo.aero,http://www.africanairexpo.com,+33 (0)4 92 97 52 47,info@airexpo.aero
TOC CONTAINER SUPPLY CHAIN AFRICA,"Exhibition and Conference for Shipping, Ports and Terminal Industries",every 2 years,Durban,Durban ICC Arena,Dec. 2019 (?),http://www.tocevents-europe.com,http://www.tocevents-africa.com,+44 (0)20 7017 7019,paul.holloway@toc-events.com
FOOD & HOSPITALITY - HOSTEX AFRICA,"South Africa’s International Hospitality & Catering Exhibition, incorporating Guestex",every 2 years,Johannesburg,Sandton Convention Centre,01.03 - 03.03 2020,http://www.specialised.com,http://www.foodandhospitalityafrica.co.za,+27 (0)11 835 1565,lindyt@specialised.com
HOSTEX,"Food, Drink & Hospitality Trade Show for the African market. Hostex is dedicated to showcasing new products, where visitors can increase their competitive advantage by sourcing a diverse range of new & consumer-driven products from around the world",every 2 years,Johannesburg,Sandton Convention Centre,01.03 - 03.03 2020,http://www.montgomeryafrica.com/EN,http://www.hostex.co.za,+2711 835 1565,rossc@montgomeryafrica.com
TYREXPO AFRICA,Tire Industry International Exhibition,every 2 years,Johannesburg,Sandton Convention Centre,April 2020 (?),http://www.singex.com.sg,http://www.tyrexposeries.com,+65 6403 2100,tyrexpo@singex.com
