展会名称,简介,举办周期,举办城市,场馆,日期
TV CONNECT AFRICA,"Trade Show for the Broadcast Industry in Sub-Saharan Africa. AfricaCast will continue to bring together the growing number of Sub-Saharan Africa’s major broadcasters, content owners, cable companies and pay TV providers",once a year,Cape Town,Cape Town International Convention Centre,13.11 - 15.11 2018
COMPLAST SOUTH AFRICA,International Plastics Exhibition,once a year,Johannesburg,Gallagher Convention Centre,13.11 - 15.11 2018
WOPS - WORLD OF PLASTICS & RUBBER EXHIBITION - SOUTH AFRICA,"Forum for Plastics & Rubber Products. Facilitating the convergence of buyers & sellers Institutional, Government, Small, Medium & Micro Enterprises, Exporters, Importers, Distributors, Traders and Retailers",unknown,Johannesburg,Gallagher Convention Centre,13.11 - 15.11 2018
AFRICA FOAM,"International trade show focusing on foam manufacturing technologies. Exhibition, Conference, Training Courses",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018
AFRICA RUBBER EXPO & SUMMIT,"Meeting Point for Rubber, Latex and Tyre Industries in Africa",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018
PU TECH AFRICA,"International Exhibition and Conference for Polyurethane Industries. Expo, Conference, Training Courses",unknown,Johannesburg,Sandton Convention Centre,20.11 - 21.11 2018
MEETINGS AFRICA,Business Tourism Exhibition,once a year,Johannesburg,Sandton Convention Centre,25.02 - 27.02 2019
PROFESSIONAL BEAUTY - CAPE TOWN,Beauty Industry Trade Show,once a year,Cape Town,The Lookout,March 2019 (?)
PORT FINANCE INTERNATIONAL,"International Forum on Port Reforms, Expansion and Efficiency",twice a year,Johannesburg,Sandton Convention Centre,March 2019 (?)
SEAMLES AFRICA,"International exhibition & conference focusing on E-Commerce, Retail, Cards & Payments and digital marketing",once a year,Cape Town,Cape Town International Convention Centre,12.03 - 13.03 2019
SEAMLESS AFRICA,"Seamless is the key meeting and Africa’s largest and longest running conference focused on cards and payments, to a dynamic summit and large scale exhibition bringing together the converging worlds of ecommerce, retail and payments",once a year,Cape Town,Cape Town International Convention Centre,12.03 - 13.03 2019
PROPAK AFRICA,African International Packaging and Plastics incorporating FOODPRO the Food Processing Equipment Expo,every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019
PRO-PLAS AFRICA EXPO,"Plastic Machinery & Materials Exhibition. PRO-PLAS AFRICA EXPO features Plastics processing machinery, Chillers, Converting equipment, Extrusion equipment, Feeders, Processing aids, Recycling equipment, Various materials, Blow moulding machinery",every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019
THE GAPP PRINT EXPO,Printing Machinery & Equipment Exhibition,every 3 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",12.03 - 15.03 2019
DECOREX DURBAN,"Exhibition dedicated to interior décor and design. Decorex Durban is KwaZulu Natal’s premier décor, design and lifestyle exhibition",once a year,Durban,Durban ICC Arena,21.03 - 24.03 2019
ENERGY EFFICIENCY WORLD AFRICA,"Energy, Power Efficiency, Energy Saving",every 2 years,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019
POWER & ELECTRICITY WORLD AFRICA,Annual Congress of Power Industry Professionals,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019
POWER GENERATION WORLD AFRICA,Power Generation Conference,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019
THE SOLAR SHOW AFRICA,Solar Power Industry Trade Show,once a year,Johannesburg,Sandton Convention Centre,26.03 - 27.03 2019
AFRICA TRAVEL WEEK,"International Travel Show. AFRICA TRAVEL WEEK comprises three co-located shows – WTM Africa, IBTM Africa and ILTM Africa - encompassing Africa’s inbound & outbound markets for general leisure travel, luxury tourism, & the MICE/business travel sector",once a year,Cape Town,Cape Town International Convention Centre,April 2019 (?)
IBTM AFRICA,"Trade show for Africa’s incentives, meetings and business travel industry",once a year,Cape Town,Cape Town International Convention Centre,10.04 - 12.04 2019
